word,example,meaning,pronunciation,audio_files
shortly,(The meeting will begin shortly.),じきに,(会議はじきに始まります。),"03-197.mp3, 03-198.mp3"
automobile,(automobile manufacturing),自動車の,(自動車製造),"03-199.mp3, 03-200.mp3"
deposit,(a security deposit),保証金,(安全保証金),"04-01.mp3, 04-02.mp3"
contain,(The book contains useful information. ),含む,(その本には役立つ情報が含まれている。),"04-03.mp3, 04-04.mp3"
content,(the contents of the book),内容,(その本の内容),"04-05.mp3, 04-06.mp3"
proof,(proof of purchase),証明,(購入の証明),"04-07.mp3, 04-08.mp3"
affect,(affect the price),影響する,(値段に影響する),"04-09.mp3, 04-10.mp3"
recognize,(Our products are recognized for their quality.),認める,(当社製品は品質の高さで認められています。),"04-11.mp3, 04-12.mp3"
represent,(represent a company),代表を務める,(会社の代表を務める),"04-13.mp3, 04-14.mp3"
transfer,(Tex was transferred to Alaska.),転勤させる,(テックスはアラスカに転勤になった。),"04-15.mp3, 04-16.mp3"
anniversary,(celebrate the twentieth anniversary),～周年,(20周年を祝う),"04-17.mp3, 04-18.mp3"
automatically,(The machine will automatically shut down.),自動的に,(その機械は自動的に電源が切れます。),"04-19.mp3, 04-20.mp3"
capacity,(production capacity),能力,(生産能力),"04-21.mp3, 04-22.mp3"
destination,(travel destinations),目的地,(旅行の目的地),"04-23.mp3, 04-24.mp3"
grant,(obtain a grant),補助金,(補助金を得る),"04-25.mp3, 04-26.mp3"
publish,(publish a magazine),出版する,(雑誌を出版する),"04-27.mp3, 04-28.mp3"
accompany,(The book is accompanied by a CD.),添付する,(その本にはCDが付いてきます。),"04-29.mp3, 04-30.mp3"
economic,(economic growth),経済の,(経済成長),"04-31.mp3, 04-32.mp3"
extremely,(check extremely carefully),非常に,(非常に丁寧にチェックする),"04-33.mp3, 04-34.mp3"
institution,(a financial institution),機関,(金融機関),"04-35.mp3, 04-36.mp3"
accurate,(accurate sales figures),正確な,(正確な売り上げの数字),"04-37.mp3, 04-38.mp3"
compete,(compete with large companies),競う,(大会社と競う),"04-39.mp3, 04-40.mp3"
emphasize,(emphasize a point),強調する,(ポイントを強調する),"04-41.mp3, 04-42.mp3"
aware,(I was aware of the problem.),気付いて,(私は問題に気付いていた。),"04-43.mp3, 04-44.mp3"
crowded,(The town is crowded with tourists.),混雑した,(町は旅行客で混雑している。),"04-45.mp3, 04-46.mp3"
praise,(The team was praised by the CEO.),ほめる,(そのチームはCEOにほめられた。),"04-47.mp3, 04-48.mp3"
valuable,(a valuable addition to the team),貴重な,(チームの貴重な新戦力),"04-49.mp3, 04-50.mp3"
explore,(explore the possibility),探索する,(可能性を探る),"04-51.mp3, 04-52.mp3"
found,(found a company),設立する,(会社を設立する),"04-53.mp3, 04-54.mp3"
function,(basic functions),機能,(基本機能),"04-55.mp3, 04-56.mp3"
impact,(have a negative impact on the environment),影響,(環境にネガティブな影響を及ぼす),"04-57.mp3, 04-58.mp3"
amazing,(an amazing success),驚くべき,(驚くべき成功),"04-59.mp3, 04-60.mp3"
assure,(assure Tex that he will be promoted),保証する,(テックスに彼が昇進することを保証する),"04-61.mp3, 04-62.mp3"
cooperation,(Thank you for your cooperation.),協力,(ご協力ありがとうございます。),"04-63.mp3, 04-64.mp3"
popularity,(a rise in popularity),人気,(人気の上昇),"04-65.mp3, 04-66.mp3"
permit,(a construction permit),許可証,(建設許可証),"04-67.mp3, 04-68.mp3"
solve,(solve a problem),解決する,(問題を解決する),"04-69.mp3, 04-70.mp3"
vote,(vote against a proposal),投票する,（提案に反対票を投じる）,"04-71.mp3, 04-72.mp3"
crop,(locally grown crops),作物,(地元で育てられた作物),"04-73.mp3, 04-74.mp3"
neighborhood,(There are no hotels in this neighborhood. ),近所,(この近所にはホテルがない。),"04-75.mp3, 04-76.mp3"
permanent,(the permanent exhibit),常設の,(常設の展示物),"04-77.mp3, 04-78.mp3"
regret,(We regret to inform you that),残念に思う,(～をお知らせすることを残念に思います),"04-79.mp3, 04-80.mp3"
slightly,(slightly increased from 24 to 27 percent),わずかに,(24％から27％にわずかに増えた),"04-81.mp3, 04-82.mp3"
complicated,(The system is very complicated.),複雑な,(そのシステムはとても複雑だ。),"04-83.mp3, 04-84.mp3"
factor,(various factors),要因,(さまざまな要因),"04-85.mp3, 04-86.mp3"
favorable,(favorable customer reviews),好意的な,(好意的な顧客のレビュー),"04-87.mp3, 04-88.mp3"
guarantee,(guarantee same-day delivery),保証する,（同日配送を保証する）,"04-89.mp3, 04-90.mp3"
mechanical,(due to mechanical trouble),機械の,(機械のトラブルが原因で),"04-91.mp3, 04-92.mp3"
priority,(a high priority),優先順位,(高い優先順位),"04-93.mp3, 04-94.mp3"
relatively,(relatively recent trend),比較的,(比較的最近のトレンド),"04-95.mp3, 04-96.mp3"
resource,(Water is an important natural resource.),資源,(水は貴重な天然資源だ。),"04-97.mp3, 04-98.mp3"
shuttle,(free shuttle service),定期往復便,(無料の送迎サービス),"04-99.mp3, 04-100.mp3"
divide,(The catalog is divided into three sections. ),分ける,(カタログは3つのセクションに分かれています。),"04-101.mp3, 04-102.mp3"
native,(a singer native to the town),出身の,(その町出身の歌手),"04-103.mp3, 04-104.mp3"
afford,(We can't afford to do that.),～する余裕がある,(我々にはそうする余裕がありません。),"04-105.mp3, 04-106.mp3"
income,(high income),収入,(高い収入),"04-107.mp3, 04-108.mp3"
occur,(damage occurred during shipment),発生する,(配送中に損傷が発生した),"04-109.mp3, 04-110.mp3"
saving,(significant savings),値引き,(大幅な値引き),"04-111.mp3, 04-112.mp3"
findings,(research findings),わかったこと,(調査でわかったこと),"04-113.mp3, 04-114.mp3"
locate,(I was unable to locate the book.),見つける,(私はその本を見つけることができなかった。),"04-115.mp3, 04-116.mp3"
postpone,(postpone a meeting),延期する,(会議を延期する),"04-117.mp3, 04-118.mp3"
preserve,(preserve the environment),保護する,(環境を保護する),"04-119.mp3, 04-120.mp3"
prove,(prove to be difficult),わかる,(難しいとわかる),"04-121.mp3, 04-122.mp3"
exact,(I can't remember the exact date.),正確な,(正確な日付は思い出せません。),"04-123.mp3, 04-124.mp3"
gain,(gain popularity),得る,(人気を得る),"04-125.mp3, 04-126.mp3"
labor,(labor costs),労働,(人件費),"04-127.mp3, 04-128.mp3"
regard,(be widely regarded as),みなす,(～と広くみなされる),"04-129.mp3, 04-130.mp3"
closely,(work closely with local businesses),密に,(地元の会社と密に仕事をする),"04-131.mp3, 04-132.mp3"
deserve,(deserve a promotion),値する,(昇進に値する),"04-133.mp3, 04-134.mp3"
identify,(identify problems),特定する,(問題を特定する),"04-135.mp3, 04-136.mp3"
loyal,(loyal customers),忠実な,（常連の顧客）,"04-137.mp3, 04-138.mp3"
promising,(the most promising applicant),有望な,(最も有望な候補者),"04-139.mp3, 04-140.mp3"
stress,(stress the importance of reading),強調する,(読書の重要性を強調する),"04-141.mp3, 04-142.mp3"
analyze,(analyze customer feedback),分析する,(お客様の意見を分析する),"04-143.mp3, 04-144.mp3"
commission,(The report was commissioned by Tex Corporation. ),委託する,(その報告書はテックス社からの委託を受けたものだ。),"04-145.mp3, 04-146.mp3"
committed,(We are committed to providing quality service. ),熱心に取り組む,(当社は質の高いサービスを提供することに熱心に取り組んでいます。),"04-147.mp3, 04-148.mp3"
comparison,(a cost comparison),比較,(コストの比較),"04-149.mp3, 04-150.mp3"
component,(electronic components),部品,(電子部品),"04-151.mp3, 04-152.mp3"
enable,(enable staff to work from home),可能にする,(スタッフが自宅で仕事をすることを可能にする),"04-153.mp3, 04-154.mp3"
enjoyable,(an enjoyable stay at a hotel),楽しい,(ホテルでの楽しい滞在),"04-155.mp3, 04-156.mp3"
existing,(existing customers),従来の,(従来の顧客),"04-157.mp3, 04-158.mp3"
flyer,(post a flyer),チラシ,(チラシを掲示する),"04-159.mp3, 04-160.mp3"
proceed,(proceed to the boarding gate),進む,(搭乗口に進む),"04-161.mp3, 04-162.mp3"
prevent,(Tex prevented us from entering the room. ),防ぐ,(テックスは私たちが部屋に入るのを妨げた。),"04-163.mp3, 04-164.mp3"
alike,(teachers and students alike),同様に,(教師も生徒も同様に),"04-165.mp3, 04-166.mp3"
appoint,(I was appointed chairperson of the committee. ),指名する,(私は委員会の議長に指名された。),"04-167.mp3, 04-168.mp3"
connection,(a high-speed Internet connection ),接続,(高速インターネット接続),"04-169.mp3, 04-170.mp3"
eager,(I am eager to learn new things.),熱望する,(私は新しいことを学びたいと熱望しています。),"04-171.mp3, 04-172.mp3"
ease,(ease of use),容易さ,(使いやすさ),"04-173.mp3, 04-174.mp3"
fairly,(fairly common),かなり,(かなり普通の),"04-175.mp3, 04-176.mp3"
absolutely,(absolutely free of charge),完全に,(完全に無料で),"04-177.mp3, 04-178.mp3"
atmosphere,(a warm atmosphere),雰囲気,(温かい雰囲気),"04-179.mp3, 04-180.mp3"
calculate,(calculate delivery costs),計算する,(配送料を計算する),"04-181.mp3, 04-182.mp3"
contrast,(in contrast to last year ),対照的である,(昨年とは対照的に),"04-183.mp3, 04-184.mp3"
monitor,(monitor the quality of products),監視する,(製品の品質を監視する),"04-185.mp3, 04-186.mp3"
occasionally,(I occasionally travel abroad. ),時々,(私は時々海外に出張する。),"04-187.mp3, 04-188.mp3"
practical,(practical experience ),実務の,(実務の経験),"04-189.mp3, 04-190.mp3"
serious,(a serious problem),重大な,(重大な問題),"04-191.mp3, 04-192.mp3"
strength,(the strength of materials),強度,(材料の強度),"04-193.mp3, 04-194.mp3"
equally,(equally important),同じように,(同じくらい重要な),"04-195.mp3, 04-196.mp3"
import,( imports from China ),輸入品,(中国からの輸入品),"04-197.mp3, 04-198.mp3"
informal,(an informal survey),非公式の,(非公式の調査),"04-199.mp3, 04-200.mp3"
lately,(I haven't seen Tex lately.),最近,(最近テックスを見ていない。),"07-01.mp3, 07-02.mp3"
profession,(Why did you choose this profession?),専門的職業,(なぜあなたはこの職業を選んだのですか。),"07-03.mp3, 07-04.mp3"
supervisor,(permission from a supervisor),上司,(上司の許可),"07-05.mp3, 07-06.mp3"
ensure,(ensure that the products are safe),保証する,(製品が安全であることを保証する),"07-07.mp3, 07-08.mp3"
submission,(hundreds of submissions from readers),提出物,(読者からの何百もの提出物),"07-09.mp3, 07-10.mp3"
notify,(notify employees of the change),知らせる,(従業員に変更を知らせる),"07-11.mp3, 07-12.mp3"
definitely,(I definitely need the item.),絶対に,(私は絶対にその品物が必要だ。),"07-13.mp3, 07-14.mp3"
eligible,(Employees are eligible to receive paid holidays.),資格がある,(社員は有給休暇を受け取る資格がある。),"07-15.mp3, 07-16.mp3"
paperwork,(All the paperwork is ready.),書類,(すべての書類の準備ができています。),"07-17.mp3, 07-18.mp3"
complimentary,(a complimentary breakfast),無料の,(無料の朝食),"07-19.mp3, 07-20.mp3"
revise,(revise a plan),修正する,(計画を修正する),"07-21.mp3, 07-22.mp3"
track,(track an order),追跡する,(注文を追跡する),"07-23.mp3, 07-24.mp3"
administrative,(an administrative assistant),管理の,(管理アシスタント),"07-25.mp3, 07-26.mp3"
retail,(retail stores),小売り,(小売店),"07-27.mp3, 07-28.mp3"
inventory,(reduce inventory),在庫,(在庫を減らす),"07-29.mp3, 07-30.mp3"
extensive,(extensive analysis),詳細な,(詳細な分析),"07-31.mp3, 07-32.mp3"
promotional,(promotional materials),販促の,(促進物),"07-33.mp3, 07-34.mp3"
catering,(catering service),仕出し,(仕出しサービス),"07-35.mp3, 07-36.mp3"
wildlife,(a wildlife photographer),野生動物,(野生動物の写真家),"07-37.mp3, 07-38.mp3"
assign,(I have been assigned the work.),任命する,(私はその仕事を任された。),"07-39.mp3, 07-40.mp3"
imply,(What is implied about the hotel?),ほのめかす,(ホテルについて何がほのめかされていますか。),"07-41.mp3, 07-42.mp3"
banquet,(I am looking forward to the banquet.),夕食会,(私は夕食会を楽しみにしている。),"07-43.mp3, 07-44.mp3"
valid,(valid until the end of May),有効な,(5月末まで有効な),"07-45.mp3, 07-46.mp3"
affordable,(provide quality service at affordable prices),手ごろな,(質の高いサービスを手頃な価格で提供する),"07-47.mp3, 07-48.mp3"
renovate,(a newly renovated library),改装する,(新しく改装された図書館),"07-49.mp3, 07-50.mp3"
guidelines,(follow industry guidelines),指針,(業界の指針に従う),"07-51.mp3, 07-52.mp3"
certificate,(a copy of the certificate),認定証,(認定証の写し),"07-53.mp3, 07-54.mp3"
innovative,(an innovative technology),革新的な,(革新的な技術),"07-55.mp3, 07-56.mp3"
agenda,(the first item on the agenda),議題,(議題の最初の項目),"07-57.mp3, 07-58.mp3"
assembly,(assembly line workers),組立,(組立ラインの作業員),"07-59.mp3, 07-60.mp3"
install,(install a new printer),設置する,(新しいプリンターを設置する),"07-61.mp3, 07-62.mp3"
orientation,(new employee orientation),新入社員向け説明会,(新入社員向け説明会),"07-63.mp3, 07-64.mp3"
renowned,(a renowned scientist),名高い,(名高い科学者),"07-65.mp3, 07-66.mp3"
appropriate,(appropriate clothes for a job interview),適した,(面接に適した服装),"07-67.mp3, 07-68.mp3"
ingredient,(use fresh ingredients),（料理の）材料,(新鮮な材料を使う),"07-69.mp3, 07-70.mp3"
storage,(a storage facility),貯蔵,(貯蔵施設),"07-71.mp3, 07-72.mp3"
beverage,(serve food and beverages to guests),飲料,(お客様に食事と飲み物を出す),"07-73.mp3, 07-74.mp3"
prior,(prior to the meeting),前の,(ミーティングの前に),"07-75.mp3, 07-76.mp3"
merger,(the upcoming merger with Tex Corporation),合併,(テックス車との近く行われる合併),"07-77.mp3, 07-78.mp3"
inn,(a seaside inn),宿,(海辺の宿),"07-79.mp3, 07-80.mp3"
equip,(Each room is equipped with Internet access. ),備え付ける,(それぞれの部屋にはインターネットが備わっています。),"07-81.mp3, 07-82.mp3"
summary,(a brief summary),要約,(短い契約),"07-83.mp3, 07-84.mp3"
lease,(a two-year lease),賃貸借（契約）,(2年間の賃貸契約),"07-85.mp3, 07-86.mp3"
defective,(return a defective product),欠陥のある,(欠陥のある製品を返品する),"07-87.mp3, 07-88.mp3"
quarterly,(a quarterly magazine),年に四回の,(季節詩（年に4回発行される雑誌）),"07-89.mp3, 07-90.mp3"
extended,(an extended warranty),長期の,(長期の保証),"07-91.mp3, 07-92.mp3"
architect,(a famous architect),建築家,(有名な建設家),"07-93.mp3, 07-94.mp3"
grocery,(a local grocery store),食品雑貨の,(地元の食品雑貨店),"07-95.mp3, 07-96.mp3"
sculpture,(a sculpture exhibition),彫刻,(彫刻展),"07-97.mp3, 07-98.mp3"
itinerary,(send an itinerary),旅程表,(旅程表を送る),"07-99.mp3, 07-100.mp3"
directory,(the company directory),名簿,(社員名簿),"07-101.mp3, 07-102.mp3"
expire,(My driver's license expires in April.),期限が切れる,(私の運転免許証は4月に期限が切れます。),"07-103.mp3, 07-104.mp3"
vendor,(negotiate with vendors),業者,(業者と交渉する),"07-105.mp3, 07-106.mp3"
colleague,(talk with a colleague),同僚,(同僚と話をする),"07-107.mp3, 07-108.mp3"
patron,(library patrons),愛用者,(図書館の愛用者),"07-109.mp3, 07-110.mp3"
relocate,(relocate an office),移転させる,(オフィスを移転する),"07-111.mp3, 07-112.mp3"
tourism,(tourism industry),観光事業,(観光産業),"07-113.mp3, 07-114.mp3"
remodel,(My office is being remodeled.),改築する,(私のオフィスは改装中です。),"07-115.mp3, 07-116.mp3"
consumer,(consumer reports),消費者,(消費者レポート),"07-117.mp3, 07-118.mp3"
inspect,(inspect a building),検査する,(建物を検査する),"07-119.mp3, 07-120.mp3"
numerous,(I have eaten at numerous local restaurants.),数多くの,(私は、数多くの地元のレストランで食事をしたことがあります。),"07-121.mp3, 07-122.mp3"
payroll,(a new payroll system),給与管理,(新しい給与管理システム),"07-123.mp3, 07-124.mp3"
qualified,(I am qualified for the position.),適任の,(私はその職に適任だ。),"07-125.mp3, 07-126.mp3"
appliance,(kitchen appliances),電化製品,(台所用電化製品),"07-127.mp3, 07-128.mp3"
competitive,(excellent service and competitive prices),他に負けない,(優れたサービスと他に負けない価格),"07-129.mp3, 07-130.mp3"
specialize,(The company specializes in Web design.),専門とする,(その会社はウェブデザインを専門にしている。),"07-131.mp3, 07-132.mp3"
questionnaire,(fill out a questionnaire),アンケート用紙,(アンケート用紙に記入する),"07-133.mp3, 07-134.mp3"
approximately,(approximately two hours),約,(約2時間),"07-135.mp3, 07-136.mp3"
contribute,(contribute to a team),貢献する,(チームに貢献する),"07-137.mp3, 07-138.mp3"
productivity,(improve productivity),生産性,(生産性を改善する),"07-139.mp3, 07-140.mp3"
promptly,(The meeting starts promptly at 1 P.M.),（時刻）きっかりに,(会議は午後1時にちょうど始まります。),"07-141.mp3, 07-142.mp3"
strategy,(a marketing strategy),戦略,(マーケティング戦略),"07-143.mp3, 07-144.mp3"
dedicated,(experienced and dedicated staff),献身的な,(経験豊富で献身的なスタッフ),"07-145.mp3, 07-146.mp3"
exceptional,(exceptional customer service),並外れた,(並外れた顧客サービス),"07-147.mp3, 07-148.mp3"
luncheon,(hold a luncheon),昼食会,(昼食会を開く),"07-149.mp3, 07-150.mp3"
exceed,(exceed expectations),超える,(期待を超える),"07-151.mp3, 07-152.mp3"
multiple,(operate in multiple countries),複数の,(複数の国で営業する),"07-153.mp3, 07-154.mp3"
specify,(the regulations clearly specify that),明確に述べる,(規則には?とはっきり記されている),"07-155.mp3, 07-156.mp3"
venue,(a convention venue),会場,(会議の会場),"07-157.mp3, 07-158.mp3"
household,(household products),家庭用の,(家庭用製品),"07-159.mp3, 07-160.mp3"
evaluate,(evaluate a product),評価する,(製品を評価する),"07-161.mp3, 07-162.mp3"
negotiate,(negotiate with a client),交渉する,(顧客と交渉する),"07-163.mp3, 07-164.mp3"
booking,(make a booking),予約,(予約をする),"07-165.mp3, 07-166.mp3"
circulation,"(a daily circulation of 30,000)",発行部数,(1日3万の発行部数),"07-167.mp3, 07-168.mp3"
completion,(the completion of the project),完了,(プロジェクトの完了),"07-169.mp3, 07-170.mp3"
relevant,(relevant work experience),関連した,(関連した職務経験),"07-171.mp3, 07-172.mp3"
thorough,(a thorough review),徹底的な,(徹底的な検討),"07-173.mp3, 07-174.mp3"
via,(fly to Seattle via Denver),～を経由して,(デンバー経由でシアトルへ飛ぶ),"07-175.mp3, 07-176.mp3"
workplace,(relationships in the workplace),職場,(職場での人間関係),"07-177.mp3, 07-178.mp3"
accommodations,(The price includes flights and accommodations. ),宿泊施設,(料金には航空運賃と宿泊費が含まれています。),"07-179.mp3, 07-180.mp3"
flexible,(flexible work hours),柔軟な,(フレックスタイム制),"07-181.mp3, 07-182.mp3"
predict,(some experts predict that),予測する,(数名の専門家は?と予測している),"07-183.mp3, 07-184.mp3"
preference,(seat and meal preferences),希望,(座席と食事の希望),"07-185.mp3, 07-186.mp3"
substantial,(reduce costs by a substantial amount),かなりの,(かなりの額のコストを削減する),"07-187.mp3, 07-188.mp3"
accessible,(easily accessible by train),到達できる,(電車で簡単にいける),"07-189.mp3, 07-190.mp3"
coverage,(media coverage),報道,(メディアの報道),"07-191.mp3, 07-192.mp3"
generate,(generate profits),生み出す,(利益を生み出す),"07-193.mp3, 07-194.mp3"
refreshment,(Refreshments will be served.),軽い飲食物,(軽食が出ます。),"07-195.mp3, 07-196.mp3"
reliable,(a reliable secretary),頼りになる,(頼りになる秘書),"07-197.mp3, 07-198.mp3"
revenue,(advertising revenue),収入,(広告収入),"07-199.mp3, 07-200.mp3"
fund-raising,(the fund-raising dinner),資金調達のための,(資金集めの夕食会),"08-01.mp3, 08-02.mp3"
accomplished,(an accomplished designer),熟達した,(熟練したデザイナー),"08-03.mp3, 08-04.mp3"
acquire,(acquire a company),買収する,(会社を買収する),"08-05.mp3, 08-06.mp3"
accordingly,"(The weather is cold, so dress accordingly.)",それに応じて,(気候が寒冷なので、それに応じた服を着てください。),"08-07.mp3, 08-08.mp3"
critic,(positive reviews from critics),評論家,(評論家からの好意的なレビュー),"08-09.mp3, 08-10.mp3"
highlight,(highlight differences),強調する,(違いを強調する),"08-11.mp3, 08-12.mp3"
profile,(profile a businessperson),人物紹介する,(ビジネスパーソンの人物紹介をする),"08-13.mp3, 08-14.mp3"
motivate,(motivate employees),やる気にさせる,(社員をやる気にさせる),"08-15.mp3, 08-16.mp3"
subscription,(a magazine subscription),購読,(雑誌の購読),"08-17.mp3, 08-18.mp3"
encounter,(encounter a serious problem),（問題や困難に）直面する,(重大な問題に直面する),"08-19.mp3, 08-20.mp3"
luxury,(a luxury sedan),高級な,(高級セダン車),"08-21.mp3, 08-22.mp3"
prohibit,(Street parking is prohibited in this area. ),禁止する,(路上駐車はこの地域では禁止されています。),"08-23.mp3, 08-24.mp3"
resolve,(The problem was resolved. ),解決する,(問題は解決された。),"08-25.mp3, 08-26.mp3"
restore,(Telephone service was restored this morning.),復旧させる,(通話サービスは今日の午前中に復旧した。),"08-27.mp3, 08-28.mp3"
surrounding,(surrounding areas),周辺の,(周辺の地域),"08-29.mp3, 08-30.mp3"
alert,(alert Tex to the problem),（重要なことを）知らせる,(テックスに問題を知らせる),"08-31.mp3, 08-32.mp3"
anticipated,(the highly anticipated new book),待ち望まれた,(非常に期待されている新刊),"08-33.mp3, 08-34.mp3"
consistently,(consistently rank among the top 10 universities),常に,(常にトップ10の大学にランクインしている),"08-35.mp3, 08-36.mp3"
dairy,(fat-free dairy products),乳製品,(無脂肪の乳製品),"08-37.mp3, 08-38.mp3"
phase,(the first phase),段階,(第一段階),"08-39.mp3, 08-40.mp3"
manuscript,(edit a manuscript),原稿,(原稿を編集する),"08-41.mp3, 08-42.mp3"
overtime,(work a lot of overtime),残業,(長時間残業する),"08-43.mp3, 08-44.mp3"
premises,(on the premises),敷地,(敷地内で),"08-45.mp3, 08-46.mp3"
utility,(The rent includes all utilities.),公共料金,(家賃にはすべての公共料金が含まれています。),"08-47.mp3, 08-48.mp3"
laundry,(a laundry room),洗濯,(洗濯部屋),"08-49.mp3, 08-50.mp3"
enthusiastic,(I am enthusiastic about the project.),乗り気である,(私はそのプロジェクトに乗り気です。),"08-51.mp3, 08-52.mp3"
outline,(outline a policy),概要を説明する,(方針の概要を説明する),"08-53.mp3, 08-54.mp3"
packet,(a packet of materials),袋,(袋入りの資料),"08-55.mp3, 08-56.mp3"
retain,(retain a receipt),保管する,(レシートを保管する),"08-57.mp3, 08-58.mp3"
belongings,(Make sure you have all your belongings.),所持品,(所持品をお持ちかご確認ください。),"08-59.mp3, 08-60.mp3"
conservation,(energy conservation),節約,(エネルギーの節約),"08-61.mp3, 08-62.mp3"
routine,(routine maintenance work),日常的に行われる,(普段行われているメンテナンス作業),"08-63.mp3, 08-64.mp3"
urban,(live in urban areas),都市の,(都市部に住む),"08-65.mp3, 08-66.mp3"
workforce,(50 percent of the workforce),全従業員,(全従業員の50％),"08-67.mp3, 08-68.mp3"
biography,(a brief biography of the author),人物紹介,(著者の簡単な人物紹介（略歴）),"08-69.mp3, 08-70.mp3"
ownership,(The company has recently changed ownership. ),所有（権）,(その会社は最近、所有権が移転した。),"08-71.mp3, 08-72.mp3"
pastry,(a pastry chef),焼き菓子,(焼き菓子のシェフ),"08-73.mp3, 08-74.mp3"
tenant,(both building managers and tenants),入居者,(建物の管理人も入居者も),"08-75.mp3, 08-76.mp3"
workload,(reduce the workload ),仕事量,(仕事量を減らす),"08-77.mp3, 08-78.mp3"
sufficient,(sufficient time),十分な,(十分な時間),"08-79.mp3, 08-80.mp3"
characteristic,(main characteristics of the product),特徴,(その製品の主な特徴),"08-81.mp3, 08-82.mp3"
combined,(a combined effort),共同の,(共同の努力),"08-83.mp3, 08-84.mp3"
conclude,(The event will conclude with a concert.),終える,(イベントはコンサートで締めくくられる予定です。),"08-85.mp3, 08-86.mp3"
associate,(costs associated with buying a house),関連付ける,(家の購入に関連したコスト),"08-87.mp3, 08-88.mp3"
conflict,(because of a scheduling conflict),衝突,(スケジュールがかち合ったので),"08-89.mp3, 08-90.mp3"
investment,(real estate investment),投資,(不動産投資),"08-91.mp3, 08-92.mp3"
physician,(see a physician),医師,(医師に診てもらう),"08-93.mp3, 08-94.mp3"
token,(as a token of our appreciation for),印,(～への我々の感謝の印として),"08-95.mp3, 08-96.mp3"
partial,(a partial refund),部分的な,(部分返金),"08-97.mp3, 08-98.mp3"
resume,(resume operations),再開する,(操業を再開する),"08-99.mp3, 08-100.mp3"
dealership,(car dealerships),販売特約店,(車の販売特約店),"08-101.mp3, 08-102.mp3"
garment,(The garment is made of cotton.),衣料品,(その衣料品は綿製です。),"08-103.mp3, 08-104.mp3"
implement,(Security measuers were implemented.),実施する,(安全対策が実施された。),"08-105.mp3, 08-106.mp3"
paycheck,(receive a paycheck),給与,(給料を受け取る),"08-107.mp3, 08-108.mp3"
recruit,(recruit new staff),採用する,(新しいスタッフを採用する),"08-109.mp3, 08-110.mp3"
substitute,(substitute new for old ),～を代わりに用いる,(古いモノの代わりに新しいモノを使う),"08-111.mp3, 08-112.mp3"
typically,(Our tours typically take an hour.),通常,(我々のツアーは通常1時間かかります。),"08-113.mp3, 08-114.mp3"
authorize,(an authorized dealer),公認する,(公認の販売店),"08-115.mp3, 08-116.mp3"
comparable,(more expensive than comparable products),同等の,(同等の製品より値段が高い),"08-117.mp3, 08-118.mp3"
faculty,(a faculty member at Tex College),（大学の）教員,(テックス大学の教員),"08-119.mp3, 08-120.mp3"
initiative,(a growth initiative),新しい計画,(成長のための新計画),"08-121.mp3, 08-122.mp3"
postage,(Postage is calculated by weight.),郵便料金,(郵便料金は重量で計算されます。),"08-123.mp3, 08-124.mp3"
afterwards,(The author will sign books afterwards.),その後で,(その後で著者が本にサインをします。),"08-125.mp3, 08-126.mp3"
aim,(aim to cut energy use),目指す,(エネルギーの使用を減らすことを目指す),"08-127.mp3, 08-128.mp3"
generally,(The film received generally positive reviews.),おおむね,(その映画はおおむね良い評価を得た。),"08-129.mp3, 08-130.mp3"
occupied,(The room is occupied.),（部屋、座席、ベッド等が）使われている,(その部屋は使われている。),"08-131.mp3, 08-132.mp3"
solid,(a solid reputation),確かな,(確かな評判),"08-133.mp3, 08-134.mp3"
attempt,(Tex's attempt to become a singer),試み,(歌手になろうとするテックスの試み),"08-135.mp3, 08-136.mp3"
authority,(the person in authority),権限,(権限を持った人),"08-137.mp3, 08-138.mp3"
domestic,(the domestic market),国内の,(国内の市場),"08-139.mp3, 08-140.mp3"
permission,(without permission),許可,(許可なしに),"08-141.mp3, 08-142.mp3"
presence,(a strong presence in the area),存在感,(地域での強い存在感),"08-143.mp3, 08-144.mp3"
rapidly,(a rapidly growing company),急速に,(急速に成長している会社),"08-145.mp3, 08-146.mp3"
relief,(provide relief to consumers),安心感,(消費者に安心感を与える),"08-147.mp3, 08-148.mp3"
reward,(reward employees for their hard work),報いる,(従業員のがんばりに報いる),"08-149.mp3, 08-150.mp3"
translate,(translate English into Japanese),翻訳する,(英語を日本語に翻訳する),"08-151.mp3, 08-152.mp3"
circumstance,(under any circumstances),状況,(いかなる状況下でも),"08-153.mp3, 08-154.mp3"
contrary,(contrary to expectations),正反対の,(期待に反して),"08-155.mp3, 08-156.mp3"
eventually,(Mr. Kato was eventually promoted to CEO.),最終的には,(加藤さんは最終的にはCEOに昇進した。),"08-157.mp3, 08-158.mp3"
expose,(be directly exposed to the sun),さらす,(太陽に直接さらされる),"08-159.mp3, 08-160.mp3"
panel,(a panel of experts),グループ,(専門家グループ),"08-161.mp3, 08-162.mp3"
portion,(the bottom portion of the ticket),部分,(チケットの下の部分),"08-163.mp3, 08-164.mp3"
primary,(primary duties),主な,(主な任務),"08-165.mp3, 08-166.mp3"
remark,(opening remarks),（スピーチでの）言葉,(開会の言葉),"08-167.mp3, 08-168.mp3"
timely,(in a timely manner),タイミングの良い,(タイミングの良いやり方で),"08-169.mp3, 08-170.mp3"
commonly,(the most commonly used methods),一般に,(最も一般的に用いられている方法),"08-171.mp3, 08-172.mp3"
